INFO  - 2021-02-15 15:32:14.348; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 13:29:32.405; org.SalesForceTestAutomation.tests.CP_647_abilitytoRelateOriginalPaymentwithaNegativeAmount; Step 1:Start Test: CP_647_AbilitytoRelateOriginalPaymentwithaNegativeAmount
INFO  - 2021-03-10 13:29:35.220; org.SalesForceTestAutomation.tests.CP_647_abilitytoRelateOriginalPaymentwithaNegativeAmount; Step 2:Enter Username
INFO  - 2021-03-10 13:29:35.221; org.SalesForceTestAutomation.tests.CP_647_abilitytoRelateOriginalPaymentwithaNegativeAmount; Step 3:Enter Password
INFO  - 2021-03-10 13:29:35.223; org.SalesForceTestAutomation.tests.CP_647_abilitytoRelateOriginalPaymentwithaNegativeAmount; Step 7:End Test: CP_647_AbilitytoRelateOriginalPaymentwithaNegativeAmount
INFO  - 2021-03-10 13:29:35.225; org.SalesForceTestAutomation.tests.CP_647_abilitytoRelateOriginalPaymentwithaNegativeAmount; Step 1:Start Test: CP_647_AbilitytoRelateOriginalPaymentwithaNegativeAmount
INFO  - 2021-03-10 13:29:55.979; org.SalesForceTestAutomation.tests.CP_647_abilitytoRelateOriginalPaymentwithaNegativeAmount; Step 4:Create new opportunity
INFO  - 2021-03-10 13:30:27.357; org.SalesForceTestAutomation.tests.CP_647_abilitytoRelateOriginalPaymentwithaNegativeAmount; Step 5:Set the payment as paid and try to refunt it using negative value.
INFO  - 2021-03-10 13:30:27.359; org.SalesForceTestAutomation.tests.CP_647_abilitytoRelateOriginalPaymentwithaNegativeAmount; Step 6:Refund has been succesfully done
INFO  - 2021-03-10 13:30:27.360; org.SalesForceTestAutomation.tests.CP_647_abilitytoRelateOriginalPaymentwithaNegativeAmount; Step 7:End Test: CP_647_AbilitytoRelateOriginalPaymentwithaNegativeAmount
INFO  - 2021-03-10 13:34:39.738; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 13:34:39.764; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 13:34:43.900; org.SalesForceTestAutomation.tests.CP_796_abilitytoRelateOriginalPaymentwithaPositiveAmount; Step 1:Start Test: CP_796_AbilitytoRelateOriginalPaymentwithaPositiveAmount
INFO  - 2021-03-10 13:34:49.004; org.SalesForceTestAutomation.tests.CP_796_abilitytoRelateOriginalPaymentwithaPositiveAmount; Step 2:Enter Username
INFO  - 2021-03-10 13:34:49.004; org.SalesForceTestAutomation.tests.CP_796_abilitytoRelateOriginalPaymentwithaPositiveAmount; Step 3:Enter Password
INFO  - 2021-03-10 13:34:49.006; org.SalesForceTestAutomation.tests.CP_796_abilitytoRelateOriginalPaymentwithaPositiveAmount; Step 7:End Test: CP_796_AbilitytoRelateOriginalPaymentwithaPositiveAmount
INFO  - 2021-03-10 13:34:49.009; org.SalesForceTestAutomation.tests.CP_796_abilitytoRelateOriginalPaymentwithaPositiveAmount; Step 1:Start Test: CP_796_AbilitytoRelateOriginalPaymentwithaPositiveAmount
INFO  - 2021-03-10 13:35:08.194; org.SalesForceTestAutomation.tests.CP_796_abilitytoRelateOriginalPaymentwithaPositiveAmount; Step 4:Create new opportunity
INFO  - 2021-03-10 13:35:35.136; org.SalesForceTestAutomation.tests.CP_796_abilitytoRelateOriginalPaymentwithaPositiveAmount; Step 5:Set the payment as paid and try to refunt it using positive value.
INFO  - 2021-03-10 13:35:35.137; org.SalesForceTestAutomation.tests.CP_796_abilitytoRelateOriginalPaymentwithaPositiveAmount; Step 6:Validate the validation message isAn Original Payment is required for to a refund payments. Otherwise leave blank.
INFO  - 2021-03-10 13:35:35.141; org.SalesForceTestAutomation.tests.CP_796_abilitytoRelateOriginalPaymentwithaPositiveAmount; Step 7:End Test: CP_796_AbilitytoRelateOriginalPaymentwithaPositiveAmount
INFO  - 2021-03-10 13:38:59.346; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 13:38:59.376; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 13:39:03.380; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 1:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:39:05.729; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 2:Enter Username
INFO  - 2021-03-10 13:39:05.730; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 3:Enter Password
INFO  - 2021-03-10 13:39:10.735; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 6:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:39:10.737; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 1:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:39:23.625; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 6:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:39:39.708; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 13:39:39.735; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 13:39:43.514; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 1:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:39:46.288; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 2:Enter Username
INFO  - 2021-03-10 13:39:46.288; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 3:Enter Password
INFO  - 2021-03-10 13:39:51.299; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 6:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:39:51.301; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 1:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:40:10.402; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 6:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:46:17.062; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 13:46:17.094; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 13:46:21.343; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 1:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:46:24.903; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 2:Enter Username
INFO  - 2021-03-10 13:46:24.903; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 3:Enter Password
INFO  - 2021-03-10 13:46:29.914; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 6:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:46:29.918; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 1:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:46:39.168; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 6:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:47:12.238; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 13:47:12.264; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 13:47:15.999; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 1:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:47:18.514; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 2:Enter Username
INFO  - 2021-03-10 13:47:18.514; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 3:Enter Password
INFO  - 2021-03-10 13:47:23.522; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 6:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:47:23.524; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 1:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:47:31.189; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 6:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:47:53.615; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 13:47:53.641; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 13:47:57.468; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 1:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:48:00.157; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 2:Enter Username
INFO  - 2021-03-10 13:48:00.157; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 3:Enter Password
INFO  - 2021-03-10 13:48:05.168; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 6:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:48:05.171; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 1:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-10 13:48:16.549; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 4: navigate to accounting settings menu.
INFO  - 2021-03-10 13:49:56.758; org.SalesForceTestAutomation.tests.CP_732_createJournalEntriesbyScheduledJobtoOnDemand; Step 6:Start Test: CP_732_createJournalEntriesbyScheduledJobtoOnDemand
INFO  - 2021-03-17 09:23:00.604; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 89.0.4389.23 (resolved driver for Chrome 89)
INFO  - 2021-03-17 09:23:00.689; io.github.bonigarcia.wdm.WebDriverManager; Reading https://chromedriver.storage.googleapis.com/ to seek chromedriver
INFO  - 2021-03-17 09:23:01.010; io.github.bonigarcia.wdm.online.Downloader; Downloading https://chromedriver.storage.googleapis.com/89.0.4389.23/chromedriver_win32.zip
INFO  - 2021-03-17 09:23:01.669; io.github.bonigarcia.wdm.online.Downloader; Extracting driver from compressed file chromedriver_win32.zip
INFO  - 2021-03-17 09:23:01.933; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\89.0.4389.23\chromedriver.exe
INFO  - 2021-03-17 09:23:08.482; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 1:Start Test:CP_474_onePaymentOnNewOpportunity
